,0,1,2,3,4,5,6,7,8,9,10,11,12,label
0,-340.46576,68.05907,-35.05015,24.371809,-28.190529,-8.9606,-8.901085,-7.615912,-7.6177144,-3.8796,-14.866941,-9.684492,-1.3447733,1
1,-355.99622,69.54546,-28.9085,18.978424,-14.055003,-2.9057379,-9.397294,-8.371697,-4.2806935,-6.113141,-12.172381,-6.6935587,0.27994666,1
2,-373.6156,39.435337,-19.74644,25.922157,-15.953314,4.0970387,-12.675958,2.3230436,-6.1370196,-4.498224,-11.993213,-3.2074609,3.6494257,1
3,-319.87698,80.5087,-31.289251,42.233246,-29.800552,-6.8624682,-6.453714,-4.9491057,-15.727765,-9.504248,-14.96054,-10.436328,-2.7477088,1
4,-328.48077,81.522995,-20.260254,13.312571,-23.785854,3.4906764,-9.622008,-6.995473,-10.265596,-4.170619,-14.447294,-9.3916645,2.1603804,1
5,-398.63208,60.378414,-32.260784,21.22947,-17.568838,-4.941825,-9.199069,-6.688471,2.1829243,-5.1715183,-7.7669835,-2.4496977,-2.1007442,1
6,-385.00192,76.08539,-28.000639,16.293749,-23.631117,2.1735728,-2.200894,-7.191945,-5.0926614,0.23763038,-7.7825284,-8.758139,-1.5583882,1
7,-408.98962,63.27373,-27.224127,18.35584,-22.68013,5.976327,-6.0143003,-7.0534744,-1.5265833,0.39271182,-7.699936,-5.143988,2.4170327,1
8,-337.58768,65.84124,-34.046894,23.690763,-21.141682,-7.444908,-4.182035,-9.377301,-6.6703887,-6.422451,-11.873992,-4.1481457,-0.8488483,1
9,-363.42752,78.3931,-39.41299,28.695465,-30.60397,3.4611387,-11.597294,-5.5680323,-6.648982,-7.6758127,-11.995054,-5.6734347,-1.2140366,1
10,-372.50107,74.39511,-44.248642,50.06137,-18.97796,-11.595116,-6.310752,-9.100216,-6.3305545,-12.766326,-18.39454,-4.596208,-3.866951,1
11,-370.95847,67.6202,-21.583021,27.927856,-10.338483,-6.2116995,-7.2132034,-5.5615563,-2.3398635,-6.8030095,-9.805901,-2.3818243,-2.2861843,1
12,-371.20056,64.8556,-27.77246,23.299341,-17.198425,4.5142326,-11.519988,-6.6865873,-3.1186674,-2.4118814,-9.938698,-3.6241386,2.2249928,1
13,-353.7612,75.34547,-32.571587,35.647377,-22.509552,-3.4608443,-5.2077746,-8.904964,-6.6058125,-8.919513,-9.406873,-5.280392,-2.6887512,1
14,-351.42117,76.97986,-38.070362,31.989254,-19.92124,-5.1946,-16.130293,-9.284377,-2.7124226,-4.599725,-16.158646,-4.2680836,2.5018148,1
15,-359.13843,74.07014,-33.21346,25.168476,-23.245487,0.52069914,-11.125195,-8.119074,-9.076436,-7.5303316,-16.01429,-3.508101,-0.94608927,1
16,-316.39334,80.779884,-31.567255,18.495573,-24.140041,-4.487115,-12.000606,-13.683201,-7.2446275,-5.9652243,-14.757585,-6.145876,2.24441,1
17,-302.086,72.280815,-32.544724,12.9133005,-24.977068,-5.9464264,-10.077377,-13.719438,-6.1765304,-5.7692013,-13.618032,-3.106943,1.1213715,1
18,-326.19263,95.25067,-39.955994,14.666277,-22.023317,0.7553948,-10.880592,-8.5679,-5.8405547,-2.416558,-14.123709,-4.4268827,0.33625272,1
19,-364.86737,84.64601,-24.766447,8.499766,-20.602036,-2.455211,-3.2329373,-11.960404,-5.72483,-4.8047047,-6.7132354,-5.0974665,-4.810462,1
20,-361.39987,82.31162,-24.131445,23.858736,-16.194838,-5.812916,-7.7943172,-7.7857523,-5.003559,-7.1087227,-13.5507345,-4.1656184,0.0124287205,1
21,-385.74847,74.26866,-29.791065,17.042007,-13.248756,-3.3873773,-5.064323,-6.125161,-4.558754,-5.474904,-11.484488,-2.621035,2.6141949,1
22,-393.10632,57.387245,-12.746381,33.202534,-24.290003,1.3645868,-12.055512,0.8629327,-6.145969,-7.210733,-11.789025,-5.3540163,0.35864204,1
23,-374.52612,41.679832,-32.60852,28.526617,-29.640602,6.8838964,-10.562523,-0.71554,-5.248503,-1.3026228,-8.551331,-2.260936,6.9879518,1
24,-347.39536,81.53221,-23.844322,26.029617,-28.519304,1.8135631,-7.032425,-10.95923,-10.035491,-8.73486,-12.171078,-6.597042,-2.0200632,1
25,-363.6772,70.95832,-17.42036,28.195457,-14.909461,-6.785586,-7.2063503,-9.542746,-9.766727,-6.608447,-13.351604,-5.54889,-4.1485825,1
26,-335.148,67.178505,-28.194473,36.374195,-19.127285,-5.297918,-12.320355,-11.054865,-6.3445315,-10.554785,-15.973966,-6.3039837,-0.029305385,1
27,-406.2145,56.885967,-25.081863,19.437307,-14.320275,-5.0027323,-3.560926,-6.071228,-2.4141479,-3.6635966,-8.506787,-1.3370291,2.0857148,1
28,-353.2344,80.05583,-30.005095,23.154638,-25.639078,-1.669619,-8.31745,-10.982388,-3.5057108,-7.7680564,-14.508846,-6.183379,-0.18226914,1
29,-316.45172,73.18097,-32.320526,33.343853,-25.193384,-11.062582,-2.362817,-15.968802,-9.325476,-10.909584,-15.673588,-2.8685782,-2.4751205,1
30,-356.81216,61.857628,-16.773611,20.08636,-17.454205,3.7006238,-9.611034,-4.2830963,-8.281328,-5.844958,-11.058492,-10.066706,-0.14480762,1
31,-323.0934,73.026054,-32.817158,45.35187,-17.986664,-9.935641,-9.475822,-9.978126,-7.876622,-9.599594,-17.30788,-6.153848,-0.7923941,1
32,-341.3946,67.652534,-30.441864,24.480412,-26.101034,-6.0913315,-7.0506186,-10.398559,-4.4659963,-5.0660834,-10.682536,-3.8691187,-1.8143164,1
33,-332.2574,75.944275,-28.004366,21.076138,-25.128023,-5.951139,-6.20764,-12.067126,-4.166824,-7.3827844,-16.016138,-7.5623593,-0.92137975,1
34,-345.54114,76.966736,-29.477598,15.35357,-25.285667,-4.2940598,-2.138596,-11.758703,-7.049916,-5.587467,-11.094542,-2.8470626,0.22606567,1
35,-313.96457,86.05859,-47.36508,35.683628,-25.707642,-9.659774,-13.390548,-17.195639,-6.2645664,-10.872144,-13.664471,-4.086394,-2.5804381,1
36,-414.52628,57.173855,-14.51475,23.764418,-13.913792,6.051407,-5.413705,-4.8171954,-5.5801725,-3.6230216,-8.511286,-5.4960036,0.5303201,1
37,-321.94244,80.163155,-34.47153,27.549103,-28.053185,-4.8351655,-11.352083,-8.822199,-14.221759,-8.108374,-14.28382,-7.439843,-0.63926953,1
38,-366.35184,73.94733,-29.184025,28.779818,-26.039661,-3.0227935,-14.038519,-8.958388,-8.85754,-7.67135,-14.988534,-8.982446,-0.69482577,1
39,-350.6366,78.6708,-24.10942,16.997765,-18.504711,-3.5633817,-8.312923,-11.359534,-3.7862158,-6.440211,-10.470946,-5.7521048,-2.0822499,1
40,-353.803,77.09783,-16.764135,21.996824,-14.616979,-4.638458,-6.1382856,-13.6256485,-9.297336,-4.341284,-11.303723,-7.396022,-1.7720349,1
